k,l,k,l,valid
2,1,2,1,0
2,2,2,2,0
3,1,3,1,0
2,3,2,3,0
3,2,3,2,0
4,1,4,1,0
2,4,2,4,0
3,3,3,3,0
4,2,4,2,0
5,1,5,1,0
2,5,2,5,0
3,4,3,4,0
4,3,4,3,0
5,2,5,2,0
6,1,6,1,0
2,6,2,6,0
3,5,3,5,0
4,4,4,4,0
5,3,5,3,0
6,2,6,2,0
7,1,7,1,0
2,7,2,7,0
3,6,3,6,0
4,5,4,5,0
5,4,5,4,0
6,3,6,3,0
7,2,7,2,0
8,1,8,1,0
2,8,2,8,0
3,7,3,7,0
4,6,4,6,0
5,5,5,5,0
6,4,6,4,0
7,3,7,3,0
8,2,8,2,0
2,9,2,9,0
3,8,3,8,0
4,7,4,7,0
5,6,5,6,0
6,5,6,5,0
7,4,7,4,0
8,3,8,3,0
9,2,9,2,0
10,1,10,1,0
2,10,2,10,0
3,9,3,9,0
4,8,4,8,0
5,7,5,7,0
6,6,6,6,0
7,5,7,5,0
8,4,8,4,0
9,3,9,3,0
11,1,11,1,0
2,11,2,11,0
3,10,3,10,0
4,9,4,9,0
5,8,5,8,0
6,7,6,7,0
7,6,7,6,0
8,5,8,5,0
9,4,9,4,0
10,3,10,3,0
11,2,11,2,0
2,12,2,12,0
3,11,3,11,0
4,10,4,10,0
5,9,5,9,0
6,8,6,8,0
7,7,7,7,0
8,6,8,6,0
9,5,9,5,0
10,4,10,4,0
11,3,11,3,0
13,1,13,1,0
2,13,2,13,0
3,12,3,12,0
4,11,4,11,0
5,10,5,10,0
6,9,6,9,0
7,8,7,8,0
8,7,8,7,0
9,6,9,6,0
10,5,10,5,0
12,3,12,3,0
13,2,13,2,0
2,14,2,14,0
3,13,3,13,0
4,12,4,12,0
5,11,5,11,0
6,10,6,10,0
7,9,7,9,0
9,7,9,7,0
10,6,10,6,0
11,5,11,5,0
13,3,13,3,0
14,2,14,2,0
2,15,2,15,0
3,14,3,14,0
4,13,4,13,0
